id,gravedad,descripcion,tipo_incidencia,fecha_reporte,fecha_cierre
74,Moderada,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-08-04T09:26:18Z,2026-08-06T02:26:18Z
75,Moderada,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-08-05T17:00:51Z,2026-08-06T02:00:51Z
57,Leve,Congestion en calle de rodaje B2,Saturacion_Vial,2026-08-13T05:17:46Z,2026-08-15T09:17:46Z
72,Leve,Bloqueo temporal en acceso Norte por vehiculo averiado,Saturacion_Vial,2026-08-16T21:43:10Z,2026-08-19T09:43:10Z
79,Moderada,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-03T09:41:24Z,2026-09-03T10:41:24Z
81,Alta,Radar reporta ecos fantasma tras 87 min de operacion,Falla_Radar,2026-08-03T23:24:41Z,2026-08-04T22:24:41Z
52,Moderada,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-08-29T02:52:24Z,2026-08-31T17:52:24Z
83,Critica,Aerolinea reporta suministro insuficiente en surtidor 3,Falta_Combustible,2026-09-15T20:03:27Z,2026-09-17T11:03:27Z
82,Leve,Bloqueo temporal en acceso Norte por vehiculo averiado,Saturacion_Vial,2026-08-23T18:38:18Z,2026-08-24T21:38:18Z
80,Moderada,Perdida intermitente de retorno en Banda S,Falla_Radar,2026-08-08T16:13:56Z,2026-08-11T08:13:56Z
84,Moderada,Aerolinea reporta suministro insuficiente en surtidor 9,Falta_Combustible,2026-09-17T23:28:27Z,2026-09-18T10:28:27Z
78,Leve,Aerolinea reporta suministro insuficiente en surtidor 7,Falta_Combustible,2026-09-08T11:21:17Z,
85,Leve,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-09-20T04:33:06Z,2026-09-20T14:33:06Z
61,Leve,Aerolinea reporta suministro insuficiente en surtidor 2,Falta_Combustible,2026-09-18T08:43:48Z,
87,Moderada,Aerolinea reporta suministro insuficiente en surtidor 3,Falta_Combustible,2026-09-22T11:35:47Z,
88,Leve,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-08-05T05:29:09Z,
89,Critica,Aerolinea reporta suministro insuficiente en surtidor 7,Falta_Combustible,2026-09-21T20:58:06Z,2026-09-22T13:58:06Z
91,Critica,Aerolinea reporta suministro insuficiente en surtidor 2,Falta_Combustible,2026-09-16T07:51:40Z,2026-09-17T09:51:40Z
92,Moderada,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-18T17:17:32Z,2026-09-21T13:17:32Z
86,Leve,Bloqueo temporal en acceso Sur por vehiculo averiado,Saturacion_Vial,2026-08-16T12:54:24Z,2026-08-17T14:54:24Z
90,Leve,Cola de espera en TWY B2 superior a 25 min,Saturacion_Vial,2026-09-16T17:45:16Z,2026-09-18T21:45:16Z
93,Critica,Cola de espera en TWY E1 superior a 79 min,Saturacion_Vial,2026-09-08T06:05:47Z,2026-09-10T14:05:47Z
94,Leve,"Colector obstruido, agua superando 8 cm sobre nivel operativo",Inundacion,2026-08-09T20:05:46Z,
56,Leve,Cola de espera en TWY A1 superior a 16 min,Saturacion_Vial,2026-08-01T07:53:46Z,2026-08-02T11:53:46Z
76,Leve,"Filtracion mayor en Espigón C, riesgo de corto en instalaciones",Inundacion,2026-09-10T02:36:55Z,2026-09-10T12:36:55Z
58,Alta,Cola de espera en TWY D4 superior a 44 min,Saturacion_Vial,2026-09-14T07:32:56Z,
77,Moderada,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-09-04T16:41:05Z,2026-09-05T06:41:05Z
102,Moderada,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-08-28T16:29:08Z,
97,Moderada,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-25T00:24:29Z,2026-08-26T11:24:29Z
103,Moderada,Perdida intermitente de retorno en Banda C,Falla_Radar,2026-08-23T18:15:58Z,
104,Alta,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-11T22:10:51Z,
59,Alta,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-11T00:59:29Z,2026-08-12T04:59:29Z
107,Moderada,Bloqueo temporal en acceso Cargas por vehiculo averiado,Saturacion_Vial,2026-09-09T15:48:39Z,2026-09-11T00:48:39Z
106,Leve,Aerolinea reporta suministro insuficiente en surtidor 6,Falta_Combustible,2026-08-04T02:50:02Z,2026-08-06T13:50:02Z
108,Leve,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-18T02:39:39Z,2026-08-19T07:39:39Z
105,Leve,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-05T12:35:27Z,
110,Leve,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-08-13T21:07:41Z,2026-08-15T04:07:41Z
109,Moderada,Radar reporta ecos fantasma tras 113 min de operacion,Falla_Radar,2026-08-10T20:58:29Z,2026-08-12T06:58:29Z
111,Alta,Perdida intermitente de retorno en Banda X,Falla_Radar,2026-09-09T23:12:59Z,
113,Moderada,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-09-19T22:00:20Z,2026-09-21T13:00:20Z
101,Leve,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-08-27T05:45:30Z,2026-08-29T00:45:30Z
115,Leve,Alerta preventiva reportada por sistema SCADA,Otro,2026-08-09T01:07:59Z,2026-08-10T07:07:59Z
112,Critica,Aerolinea reporta suministro insuficiente en surtidor 9,Falta_Combustible,2026-08-03T06:58:19Z,
114,Leve,Evento no clasificado — requiere revision del supervisor de turno,Otro,2026-09-23T10:43:39Z,2026-09-25T14:43:39Z
116,Leve,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-03T03:43:30Z,2026-09-04T13:43:30Z
55,Moderada,Bloqueo temporal en acceso Cargas por vehiculo averiado,Saturacion_Vial,2026-09-02T14:10:57Z,2026-09-05T03:10:57Z
98,Leve,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-08-28T23:08:50Z,2026-08-31T21:08:50Z
117,Leve,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-08-05T11:58:20Z,2026-08-05T16:58:20Z
60,Leve,Cola de espera en TWY A1 superior a 78 min,Saturacion_Vial,2026-08-30T01:04:32Z,
99,Leve,Bloqueo temporal en acceso Cargas por vehiculo averiado,Saturacion_Vial,2026-08-19T03:47:25Z,
96,Leve,Radar reporta ecos fantasma tras 66 min de operacion,Falla_Radar,2026-09-11T14:15:30Z,2026-09-12T23:15:30Z
118,Moderada,Evento no clasificado — requiere revision del supervisor de turno,Otro,2026-09-14T06:40:36Z,2026-09-17T03:40:36Z
100,Moderada,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-08-06T09:39:57Z,2026-08-07T11:39:57Z
119,Leve,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-09-17T16:07:24Z,2026-09-19T19:07:24Z
120,Moderada,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-08-17T01:43:41Z,
95,Leve,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-09T07:42:36Z,2026-09-10T04:42:36Z
121,Moderada,Cola de espera en TWY A1 superior a 62 min,Saturacion_Vial,2026-08-11T07:03:01Z,
124,Alta,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-08-29T17:10:24Z,2026-09-01T05:10:24Z
123,Moderada,Perdida intermitente de retorno en Banda C,Falla_Radar,2026-08-05T12:35:47Z,2026-08-08T05:35:47Z
126,Leve,Bloqueo temporal en acceso Cargas por vehiculo averiado,Saturacion_Vial,2026-08-31T13:28:26Z,2026-09-01T20:28:26Z
122,Leve,Falla del sistema de barrido primario (Banda S),Falla_Radar,2026-08-12T18:46:44Z,2026-08-13T00:46:44Z
125,Moderada,Radar reporta ecos fantasma tras 111 min de operacion,Falla_Radar,2026-09-17T14:52:06Z,2026-09-20T04:52:06Z
127,Leve,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-04T10:25:28Z,2026-08-06T00:25:28Z
130,Leve,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-09-04T22:39:26Z,2026-09-05T08:39:26Z
128,Leve,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-01T02:52:25Z,
132,Moderada,Perdida intermitente de retorno en Banda C,Falla_Radar,2026-08-16T05:36:53Z,2026-08-18T16:36:53Z
131,Leve,Aerolinea reporta suministro insuficiente en surtidor 10,Falta_Combustible,2026-08-21T22:24:06Z,
133,Moderada,Congestion en calle de rodaje D4,Saturacion_Vial,2026-09-04T18:35:08Z,2026-09-07T13:35:08Z
134,Critica,Falla del sistema de barrido primario (Banda X),Falla_Radar,2026-09-24T22:49:37Z,
135,Critica,Congestion en calle de rodaje A1,Saturacion_Vial,2026-08-17T12:05:23Z,
137,Moderada,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-08-27T17:55:16Z,2026-08-28T16:55:16Z
136,Leve,Aerolinea reporta suministro insuficiente en surtidor 1,Falta_Combustible,2026-09-18T13:12:36Z,2026-09-19T00:12:36Z
138,Alta,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-08-16T22:48:38Z,2026-08-17T10:48:38Z
140,Moderada,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-26T06:16:25Z,2026-08-28T02:16:25Z
139,Moderada,Cola de espera en TWY C3 superior a 110 min,Saturacion_Vial,2026-09-24T09:26:16Z,2026-09-25T03:26:16Z
141,Leve,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-08-07T01:25:09Z,2026-08-09T12:25:09Z
142,Moderada,Perdida intermitente de retorno en Banda X,Falla_Radar,2026-09-29T15:08:31Z,2026-09-30T01:08:31Z
129,Moderada,Aerolinea reporta suministro insuficiente en surtidor 5,Falta_Combustible,2026-08-12T11:49:53Z,2026-08-14T20:49:53Z
143,Moderada,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-08-25T21:08:25Z,2026-08-26T13:08:25Z
148,Moderada,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-08-20T08:18:45Z,
151,Alta,Aerolinea reporta suministro insuficiente en surtidor 10,Falta_Combustible,2026-09-21T14:39:27Z,2026-09-23T11:39:27Z
149,Alta,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-19T23:34:25Z,2026-09-22T07:34:25Z
153,Leve,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-09-09T03:37:42Z,2026-09-09T04:37:42Z
150,Moderada,Cola de espera en TWY C3 superior a 116 min,Saturacion_Vial,2026-09-02T01:47:07Z,2026-09-03T21:47:07Z
159,Leve,Falla del sistema de barrido primario (Banda L),Falla_Radar,2026-08-23T00:11:59Z,2026-08-24T20:11:59Z
160,Leve,Aerolinea reporta suministro insuficiente en surtidor 5,Falta_Combustible,2026-09-13T21:22:31Z,2026-09-15T22:22:31Z
144,Moderada,Falla del sistema de barrido primario (Banda X),Falla_Radar,2026-09-15T15:40:34Z,2026-09-16T01:40:34Z
158,Leve,Bloqueo temporal en acceso Norte por vehiculo averiado,Saturacion_Vial,2026-08-14T12:52:27Z,2026-08-16T16:52:27Z
155,Alta,Congestion en calle de rodaje A1,Saturacion_Vial,2026-08-22T03:52:06Z,2026-08-22T20:52:06Z
161,Leve,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-09-26T01:46:35Z,
162,Alta,Aerolinea reporta suministro insuficiente en surtidor 5,Falta_Combustible,2026-08-20T09:06:25Z,2026-08-22T03:06:25Z
163,Leve,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-09-01T10:13:28Z,2026-09-01T20:13:28Z
145,Moderada,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-08-27T02:28:22Z,2026-08-29T10:28:22Z
164,Leve,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-06T03:42:39Z,
154,Leve,Falla del sistema de barrido primario (Banda C),Falla_Radar,2026-09-09T00:48:22Z,2026-09-10T13:48:22Z
156,Moderada,Falla del sistema de barrido primario (Banda L),Falla_Radar,2026-08-28T01:44:38Z,2026-08-28T12:44:38Z
167,Moderada,Aerolinea reporta suministro insuficiente en surtidor 5,Falta_Combustible,2026-09-02T05:33:53Z,2026-09-02T17:33:53Z
168,Leve,"Colector obstruido, agua superando 23 cm sobre nivel operativo",Inundacion,2026-09-05T21:04:01Z,2026-09-07T18:04:01Z
171,Leve,Falla del sistema de barrido primario (Banda S),Falla_Radar,2026-08-06T21:30:32Z,2026-08-08T19:30:32Z
172,Leve,"Filtracion mayor en Espigón C, riesgo de corto en instalaciones",Inundacion,2026-08-28T19:47:25Z,2026-08-30T20:47:25Z
157,Moderada,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-08-21T11:26:51Z,2026-08-23T11:26:51Z
176,Moderada,Bloqueo temporal en acceso Sur por vehiculo averiado,Saturacion_Vial,2026-09-14T01:23:57Z,
177,Alta,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-09-02T00:05:53Z,2026-09-03T20:05:53Z
169,Alta,Retraso en abastecimiento por falla logistica del proveedor,Falta_Combustible,2026-08-14T07:30:43Z,2026-08-15T02:30:43Z
179,Moderada,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-09-09T05:41:43Z,2026-09-10T15:41:43Z
180,Leve,Cola de espera en TWY E1 superior a 114 min,Saturacion_Vial,2026-08-06T11:43:26Z,
170,Leve,Aerolinea reporta suministro insuficiente en surtidor 8,Falta_Combustible,2026-08-28T02:51:06Z,2026-08-30T22:51:06Z
183,Moderada,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-08-10T22:32:32Z,2026-08-11T23:32:32Z
182,Moderada,Cola de espera en TWY C3 superior a 74 min,Saturacion_Vial,2026-08-11T20:15:46Z,2026-08-14T05:15:46Z
184,Critica,Aerolinea reporta suministro insuficiente en surtidor 1,Falta_Combustible,2026-09-08T07:26:22Z,2026-09-09T13:26:22Z
146,Leve,Congestion en calle de rodaje A1,Saturacion_Vial,2026-08-29T03:38:32Z,2026-08-31T19:38:32Z
186,Moderada,Congestion en calle de rodaje B2,Saturacion_Vial,2026-08-24T17:19:33Z,
185,Alta,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-16T18:52:12Z,2026-09-17T21:52:12Z
187,Leve,Bloqueo temporal en acceso Sur por vehiculo averiado,Saturacion_Vial,2026-08-06T20:26:06Z,2026-08-07T20:26:06Z
190,Moderada,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-09-03T08:16:30Z,
188,Alta,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-09-22T07:42:29Z,
191,Moderada,Anomalia detectada durante inspeccion rutinaria,Otro,2026-08-01T20:22:49Z,
192,Leve,Aerolinea reporta suministro insuficiente en surtidor 6,Falta_Combustible,2026-08-13T05:48:20Z,2026-08-15T17:48:20Z
193,Moderada,Falla del sistema de barrido primario (Banda X),Falla_Radar,2026-09-18T07:14:06Z,
189,Leve,Radar reporta ecos fantasma tras 57 min de operacion,Falla_Radar,2026-09-23T00:55:38Z,2026-09-23T09:55:38Z
194,Moderada,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-08-22T06:18:29Z,
152,Alta,Bloqueo temporal en acceso Sur por vehiculo averiado,Saturacion_Vial,2026-09-27T22:30:44Z,2026-09-29T03:30:44Z
195,Leve,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-09-28T08:06:50Z,
147,Leve,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-01T06:56:07Z,2026-09-03T02:56:07Z
165,Leve,Radar reporta ecos fantasma tras 80 min de operacion,Falla_Radar,2026-08-07T14:27:14Z,2026-08-09T00:27:14Z
196,Leve,Radar reporta ecos fantasma tras 101 min de operacion,Falla_Radar,2026-08-06T15:12:31Z,2026-08-08T21:12:31Z
166,Moderada,Perdida intermitente de retorno en Banda X,Falla_Radar,2026-09-24T14:36:34Z,2026-09-24T17:36:34Z
173,Moderada,Aerolinea reporta suministro insuficiente en surtidor 8,Falta_Combustible,2026-08-14T19:50:14Z,
175,Alta,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-08-27T00:23:51Z,
174,Leve,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-08-28T07:45:03Z,2026-08-28T23:45:03Z
178,Leve,Bloqueo temporal en acceso Sur por vehiculo averiado,Saturacion_Vial,2026-08-29T02:57:04Z,
197,Moderada,Bloqueo temporal en acceso Sur por vehiculo averiado,Saturacion_Vial,2026-09-17T15:05:13Z,
199,Critica,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-28T02:39:14Z,2026-09-29T06:39:14Z
198,Alta,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-08-30T22:13:19Z,
200,Moderada,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-09-12T20:18:03Z,
202,Moderada,Falla mecanica en sistema de posicionamiento de manga,Manga_Inoperativa,2026-08-31T17:15:02Z,2026-09-03T11:15:02Z
201,Moderada,Perdida intermitente de retorno en Banda L,Falla_Radar,2026-09-14T06:43:07Z,
203,Alta,Sensor de acople reporta lectura incoherente,Manga_Inoperativa,2026-08-08T20:33:55Z,2026-08-10T14:33:55Z
204,Moderada,Anomalia detectada durante inspeccion rutinaria,Otro,2026-08-28T20:32:39Z,2026-08-29T13:32:39Z
205,Leve,Reserva de Jet A-1 por debajo del minimo operacional,Falta_Combustible,2026-09-14T11:58:10Z,2026-09-14T12:58:10Z
206,Moderada,Radar reporta ecos fantasma tras 29 min de operacion,Falla_Radar,2026-08-26T07:56:00Z,
208,Leve,Falla del sistema de barrido primario (Banda L),Falla_Radar,2026-09-21T23:25:23Z,2026-09-22T16:25:23Z
209,Moderada,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-09-21T10:07:43Z,
207,Critica,Congestion en calle de rodaje B2,Saturacion_Vial,2026-09-25T11:52:45Z,
210,Alta,Aerolinea reporta suministro insuficiente en surtidor 12,Falta_Combustible,2026-09-25T16:48:12Z,
213,Alta,Cola de espera en TWY D4 superior a 52 min,Saturacion_Vial,2026-08-11T10:12:20Z,2026-08-14T02:12:20Z
181,Alta,Aerolinea reporta suministro insuficiente en surtidor 6,Falta_Combustible,2026-08-30T15:31:17Z,2026-08-31T12:31:17Z
222,Critica,Bloqueo temporal en acceso Norte por vehiculo averiado,Saturacion_Vial,2026-08-10T05:08:53Z,2026-08-11T11:08:53Z
216,Moderada,Aerolinea reporta suministro insuficiente en surtidor 10,Falta_Combustible,2026-09-20T03:22:02Z,
223,Moderada,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-09-20T08:40:07Z,
225,Alta,Cola de espera en TWY A1 superior a 102 min,Saturacion_Vial,2026-08-09T01:36:20Z,2026-08-11T15:36:20Z
226,Moderada,Congestion en calle de rodaje B2,Saturacion_Vial,2026-08-27T13:57:12Z,
224,Alta,Aerolinea reporta suministro insuficiente en surtidor 1,Falta_Combustible,2026-09-17T18:25:38Z,2026-09-17T20:25:38Z
221,Moderada,Puente de embarque bloqueado por proteccion antimolino,Manga_Inoperativa,2026-08-21T23:49:38Z,2026-08-23T17:49:38Z
